"poster_path","text_prompt","author_id","independent_of_ground_truth"
"2214.png","Create a poster with large title text at top-center, two text boxes at middle-center, and a small logo at bottom-left.","1","yes"
"3936.png","Create a festive workspace poster with bold title text at top-center, supporting text at bottom-center, and a small logo at bottom-right.","1","yes"
"5856.png","Create a bold streetwear poster with title text at top-center, promotional text at bottom-center, price text on a panel at bottom-left, and a logo at top-right.","1","yes"
"9778.png","Create a light airy sneaker poster with bold title text at top-left, short caption text at middle-left, and a small logo at top-right, keeping the shoe unobstructed.","3","yes"
"5917.png","Create a lifestyle apparel poster with bold title text at top-left, short caption text at middle-left, and a small logo at top-right, keeping the model unobstructed.","3","yes"
"7057.png","Create a clean fashion poster with minimal title text at top-right, short descriptive text at middle-right, and a small brand mark at top-left, keeping the blazer unobstructed.","3","yes"
"8913.png","Create an elegant accessories poster with refined title text at top-center, two short text lines at middle-center, and a logo at top-left, keeping the belt unobstructed.","2","yes"
"9784.png","Create a dental-care promotion with large title text at top-center, two benefit text boxes at top-left and top-right, and a logo at top-right.","1","yes"
"2017.png","Create a modern storage poster with large title text at top-center, three icon-and-text features at top-left, top-center, and top-right, and a logo at top-left.","1","yes"
"9136.png","Create a luxury footwear poster with large title text at top-center, supporting text at middle-center, and a small logo at top-left, leaving both shoes fully visible.","2","yes"
"3043.png","Create a clean apparel poster with bold title text at top-center, short feature text at middle-center, and a small brand logo at top-left, keeping the polo shirt unobstructed.","3","yes"
"921.png","Create a comfortable bedding poster with bold title text at top-right, two short benefit text blocks at middle-right, and a small logo at top-left.","1","yes"
"6672.png","Create a playful pink-themed children's dancewear poster with title text at top-right, circle underlays at top-left, middle-center, and bottom-right, and a small logo at bottom-left, keeping the model unobstructed.","3","yes"
"6875.png","Create a cheerful pink children's sleepwear poster with title text at top-right, short text at middle-right, and a small logo at top-left, keeping the garments unobstructed.","3","yes"
"627.png","Create a modern activewear poster with bold title text at top-left, feature text at middle-left, and a logo at top-right, keeping the shorts and model unobstructed.","2","yes"
"4978.png","Create a delicate lingerie poster with elegant title text at middle-center, supporting text at bottom-center, and a small logo at bottom-right, avoiding both garments.","2","yes"
"8257.png","Create a clean backpack poster with bold title text at top-center, short feature text at middle-center, and a logo at bottom-right, leaving both backpacks unobstructed.","3","yes"
