"poster_path","text_prompt","author_id","independent_of_ground_truth"
"21794.png","Create a powerful fitness poster with a compact panel at top-left containing title text, short feature text at middle-left, and a logo at bottom-left, keeping the man and equipment clear.","5","yes"
"61250.png","Create a luxury bedroom poster with elegant title text at top-right, supporting text at middle-right, and a small logo at top-left, keeping the woman and bed unobstructed.","5","yes"
"18797.png","Create a minimalist skincare poster with refined title text at top-center, supporting text at middle-center, and a small logo at top-left, keeping the serum bottle clear.","5","yes"
"1150.png","Create a professional karaoke poster with large title text at top-center, two icon-and-text features at top-left and top-right, and a small logo at bottom-left.","5","yes"
"82760.png","Create a luxury eyewear poster with a slim text panel at bottom-center, title text at bottom-left, and a logo at bottom-right, keeping the face clear.","5","yes"
"45040.png","Create a clean skincare poster with refined title text at top-left, supporting text at top-right, and a small logo at bottom-right, keeping the tube fully visible.","5","yes"
"54877.png","Create a soft pink traditional-wear poster with title text at top-left, short vertical text at bottom-left, and a small heart decoration at bottom-right, keeping the model unobstructed.","4","yes"
"79465.png","Create a bold sporting-goods poster with a dramatic red-and-black background panel, large title text at top-center, and a small logo at bottom-right, keeping the fishing rods unobstructed.","4","yes"
"30209.png","Create a fashion-editorial handbag poster with minimal title text at top-center, short caption text at middle-center, and a small logo at top-right, keeping the model and bag unobstructed.","5","yes"
"54053.png","Create an elegant fashion poster with a vertical text panel at middle-left and a small logo at bottom-left, keeping the clothing, flowers, and handbag unobstructed.","5","yes"
"29789.png","Create a warm modern living-room poster with minimal title text at bottom-left, short caption text at bottom-left, and a small logo at top-right, keeping the furniture unobstructed.","4","yes"
"47960.png","Create a sleek dark-mode appliance poster with minimal title text at top-center, fine-print text at bottom-center, and a small logo at top-left, keeping the device unobstructed.","4","yes"
"76289.png","Create an elegant wellness poster with refined title text at top-left, supporting text at top-right, and a small logo at top-center, keeping the bottle fully visible.","5","yes"
"29622.png","Create a professional measuring-tool poster with large title text at top-center, feature text at top-left, and a small logo at top-right, keeping the device and hand clear.","5","yes"
"39945.png","Create a portable audio poster with large title text at top-center, feature text boxes at top-left and top-right, and a small logo at bottom-left, leaving the speaker and microphone unobstructed.","5","yes"
"41262.png","Create an elegant beauty poster with refined title text at top-center, short feature text at top-left, and a small logo at top-right, leaving the eyelashes clear.","5","yes"
"8610.png","Create a luxury massage-chair poster with a translucent panel at top-left containing title text, two benefit text lines at middle-left, and a small logo at top-center.","5","yes"
"77798.png","Create a premium coffee poster with large title text at top-center, supporting text at middle-center, and a small logo at top-left, keeping the woman’s face and machine clear.","5","yes"
"18525.png","Create a family wellness poster with large title text at top-center, two benefit text lines at middle-center, a small icon, and a logo at top-left.","5","yes"
"81066.png","Create a nutritious pet-food poster with playful title text at top-center, two benefit text lines at middle-center, a small icon, and a logo at top-left.","5","yes"
"83265.png","Create a playful children’s accessory poster with cheerful title text at top-right, supporting text at middle-right, and a small logo at top-center, keeping the duck design unobstructed.","5","yes"
"47226.png","Create a fresh vitamin poster with large title text at top-center, two benefit text lines at middle-center, a citrus icon, and a small logo at top-right.","5","yes"
"42821.png","Create a modern headwear poster with bold title text at top-center, short promotional text at middle-center, and a small logo at top-left, keeping the cap unobstructed.","5","yes"
"17386.png","Create a futuristic technology poster with bold title text at top-center, two feature text lines at middle-center, and a small logo at top-left, keeping the glowing device clear.","5","yes"
"37572.png","Create a winter footwear poster with bold title text at top-left, two compact feature text blocks at middle-left, and a small logo at top-right, keeping the boot and flame clear.","5","yes"
"82580.png","Create a natural skincare poster with refined title text at top-left, two benefit text boxes at middle-left, and a small logo at top-right.","5","yes"
